Ceremony,Won,Name,Birthdate,Film,Role
28,TRUE,Ernest Borgnine,"January 24, 1917",Marty,Marty Pilletti
28,FALSE,James Cagney,"July 17, 1899",Love Me or Leave Me,Martin Snyder
28,FALSE,James Dean,"February 08, 1931",East of Eden,Cal Trask
28,FALSE,Frank Sinatra,"December 12, 1915",The Man with the Golden Arm,Frankie
28,FALSE,Spencer Tracy,"April 05, 1900",Bad Day at Black Rock,John J. Macreedy
29,TRUE,Yul Brynner,"July 11, 1920",The King and I,The King
29,FALSE,James Dean,"February 08, 1931",Giant,Jett Rink
29,FALSE,Kirk Douglas,"December 09, 1916",Lust for Life,Vincent Van Gogh
29,FALSE,Rock Hudson,"November 17, 1925",Giant,Bick Benedict
29,FALSE,Laurence Olivier,"May 22, 1907",Richard III,Richard III
30,FALSE,Marlon Brando,"April 03, 1924",Sayonara,Major Lloyd Gruver
30,FALSE,Anthony Franciosa,"October 25, 1928",A Hatful of Rain,Polo
30,TRUE,Alec Guinness,"April 02, 1914",The Bridge on the River Kwai,Colonel Nicholson
30,FALSE,Charles Laughton,"July 01, 1899",Witness for the Prosecution,Sir Wilfrid Robarts
30,FALSE,Anthony Quinn,"April 21, 1915",Wild Is the Wind,Gino
31,FALSE,Tony Curtis,"June 03, 1925",The Defiant Ones,John 'Joker' Jackson
31,FALSE,Paul Newman,"January 26, 1925",Cat on a Hot Tin Roof,Brick Pollitt
31,TRUE,David Niven,"March 01, 1910",Separate Tables,Major Pollock
31,FALSE,Sidney Poitier,"February 20, 1927",The Defiant Ones,Noah Cullen
31,FALSE,Spencer Tracy,"April 05, 1900",The Old Man and the Sea,The Old Man
32,FALSE,Laurence Harvey,"October 01, 1928",Room at the Top,Joe Lampton
32,TRUE,Charlton Heston,"October 04, 1923",Ben-Hur,Judah Ben-Hur
32,FALSE,Jack Lemmon,"February 08, 1925",Some Like It Hot,Jerry/Daphne
32,FALSE,Paul Muni,"October 22, 1895",The Last Angry Man,Dr. Sam Abelman
32,FALSE,James Stewart,"May 20, 1908",Anatomy of a Murder,Paul Biegler
33,FALSE,Trevor Howard,"September 29, 1913",Sons and Lovers,Morel
33,TRUE,Burt Lancaster,"November 02, 1913",Elmer Gantry,Elmer Gantry
33,FALSE,Jack Lemmon,"February 08, 1925",The Apartment,C.C. 'Bud' Baxter
33,FALSE,Laurence Olivier,"May 22, 1907",The Entertainer,Archie Rice
33,FALSE,Spencer Tracy,"April 05, 1900",Inherit the Wind,Henry Drummond
34,FALSE,Charles Boyer,"August 28, 1899",Fanny,César
34,FALSE,Paul Newman,"January 26, 1925",The Hustler,Eddie Felson
34,TRUE,Maximilian Schell,"December 08, 1930",Judgment at Nuremberg,Hans Rolfe
34,FALSE,Spencer Tracy,"April 05, 1900",Judgment at Nuremberg,Judge Dan Haywood
34,FALSE,Stuart Whitman,"February 01, 1928",The Mark,Jim Fuller
35,FALSE,Burt Lancaster,"November 02, 1913",Birdman of Alcatraz,Robert Stroud
35,FALSE,Jack Lemmon,"February 08, 1925",Days of Wine and Roses,Joe Clay
35,FALSE,Marcello Mastroianni,"September 28, 1924",Divorce--Italian Style,Ferdinando Cefalu
35,FALSE,Peter O'Toole,"August 02, 1932",Lawrence of Arabia,T.E. Lawrence
35,TRUE,Gregory Peck,"April 05, 1916",To Kill a Mockingbird,Atticus Finch
36,FALSE,Albert Finney,"May 09, 1936",Tom Jones,Tom Jones
36,FALSE,Richard Harris,"October 01, 1930",This Sporting Life,Frank Machin
36,FALSE,Rex Harrison,"March 05, 1908",Cleopatra,Julius Caesar
36,FALSE,Paul Newman,"January 26, 1925",Hud,Hud Bannon
36,TRUE,Sidney Poitier,"February 20, 1927",Lilies of the Field,Homer Smith
37,FALSE,Richard Burton,"November 10, 1925",Becket,Thomas Becket
37,TRUE,Rex Harrison,"March 05, 1908",My Fair Lady,Professor Henry Higgins
37,FALSE,Peter O'Toole,"August 02, 1932",Becket,King Henry II
37,FALSE,Anthony Quinn,"April 21, 1915",Zorba the Greek,Alexis Zorba
37,FALSE,Peter Sellers,"September 08, 1925",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Group Captain Lionel Mandrake/President Muffley/Dr. Strangelove
38,FALSE,Richard Burton,"November 10, 1925",The Spy Who Came In from the Cold,Alec Leamas
38,TRUE,Lee Marvin,"February 19, 1924",Cat Ballou,Kid Shelleen/Tim Strawn
38,FALSE,Laurence Olivier,"May 22, 1907",Othello,Othello
38,FALSE,Rod Steiger,"April 14, 1925",The Pawnbroker,Sol Nazerman
38,FALSE,Oskar Werner,"November 13, 1922",Ship of Fools,Dr. Schumann
39,FALSE,Alan Arkin,"March 26, 1934",The Russians Are Coming The Russians Are Coming,Rozanov
39,FALSE,Richard Burton,"November 10, 1925",Who's Afraid of Virginia Woolf?,George
39,FALSE,Michael Caine,"March 14, 1933",Alfie,Alfie
39,FALSE,Steve McQueen,"March 24, 1930",The Sand Pebbles,Jake Holman
39,TRUE,Paul Scofield,"January 21, 1922",A Man for All Seasons,Sir Thomas More
40,FALSE,Warren Beatty,"March 30, 1937",Bonnie and Clyde,Clyde Barrow
40,FALSE,Dustin Hoffman,"August 08, 1937",The Graduate,Ben Braddock
40,FALSE,Paul Newman,"January 26, 1925",Cool Hand Luke,Luke Jackson
40,TRUE,Rod Steiger,"April 14, 1925",In the Heat of the Night,Police Chief Bill Gillespie
40,FALSE,Spencer Tracy,"April 05, 1900",Guess Who's Coming to Dinner,Matt Drayton
41,FALSE,Alan Arkin,"March 26, 1934",The Heart Is a Lonely Hunter,Singer
41,FALSE,Alan Bates,"February 17, 1934",The Fixer,Yakov Bok
41,FALSE,Ron Moody,"January 08, 1924",Oliver!,Fagin
41,FALSE,Peter O'Toole,"August 02, 1932",The Lion in Winter,King Henry II
41,TRUE,Cliff Robertson,"September 09, 1923",Charly,Charly Gordon
42,FALSE,Richard Burton,"November 10, 1925",Anne of the Thousand Days,King Henry VIII
42,FALSE,Dustin Hoffman,"August 08, 1937",Midnight Cowboy,Ratso Rizzo
42,FALSE,Peter O'Toole,"August 02, 1932","Goodbye, Mr. Chips",Arthur Chipping
42,FALSE,Jon Voight,"December 29, 1938",Midnight Cowboy,Joe Buck
42,TRUE,John Wayne,"May 26, 1907",True Grit,Rooster Cogburn
43,FALSE,Melvyn Douglas,"April 05, 1901",I Never Sang for My Father,Tom Garrison
43,FALSE,James Earl Jones,"January 17, 1931",The Great White Hope,Jack Jefferson
43,FALSE,Jack Nicholson,"April 22, 1937",Five Easy Pieces,Robert Eroica Dupea
43,FALSE,Ryan O'Neal,"April 20, 1941",Love Story,Oliver Barrett IV
43,TRUE,George C. Scott,"October 18, 1927",Patton,"General George S. Patton, Jr."
44,FALSE,Peter Finch,"September 28, 1916",Sunday Bloody Sunday,Dr. Daniel Hirsh
44,TRUE,Gene Hackman,"January 30, 1930",The French Connection,Jimmy 'Popeye' Doyle
44,FALSE,Walter Matthau,"October 01, 1920",Kotch,Joseph P. Kotcher
44,FALSE,George C. Scott,"October 18, 1927",The Hospital,Dr. Herbert Bock
44,FALSE,Topol,"September 09, 1935",Fiddler on the Roof,Tevye
45,TRUE,Marlon Brando,"April 03, 1924",The Godfather,Don Vito Corleone
45,FALSE,Michael Caine,"March 14, 1933",Sleuth,Milo Tindale
45,FALSE,Laurence Olivier,"May 22, 1907",Sleuth,Andrew Wyke
45,FALSE,Peter O'Toole,"August 02, 1932",The Ruling Class,"Jack, 14th Earl of Gurney"
45,FALSE,Paul Winfield,"May 22, 1939",Sounder,Nathan Lee Morgan
46,FALSE,Marlon Brando,"April 03, 1924",Last Tango in Paris,Paul
46,TRUE,Jack Lemmon,"February 08, 1925",Save the Tiger,Harry Stoner
46,FALSE,Jack Nicholson,"April 22, 1937",The Last Detail,Signalman First Class Buddusky
46,FALSE,Al Pacino,"April 25, 1940",Serpico,Frank Serpico
46,FALSE,Robert Redford,"August 18, 1936",The Sting,Johnny Hooker
47,TRUE,Art Carney,"November 04, 1918",Harry and Tonto,Harry
47,FALSE,Albert Finney,"May 09, 1936",Murder on the Orient Express,Hercule Poirot
47,FALSE,Dustin Hoffman,"August 08, 1937",Lenny,Lenny Bruce
47,FALSE,Jack Nicholson,"April 22, 1937",Chinatown,J. J. Gittes
47,FALSE,Al Pacino,"April 25, 1940",The Godfather Part II,Michael Corleone
48,FALSE,Walter Matthau,"October 01, 1920",The Sunshine Boys,Willy Clark
48,TRUE,Jack Nicholson,"April 22, 1937",One Flew over the Cuckoo's Nest,Randle Patrick McMurphy
48,FALSE,Al Pacino,"April 25, 1940",Dog Day Afternoon,Sonny
48,FALSE,Maximilian Schell,"December 08, 1930",The Man in the Glass Booth,Arthur Goldman
48,FALSE,James Whitmore,"October 01, 1921","Give 'em Hell, Harry!",Harry S. Truman
49,FALSE,Robert De Niro,"August 17, 1943",Taxi Driver,Travis Bickle
49,TRUE,Peter Finch,"September 28, 1916",Network,Howard Beale
49,FALSE,Giancarlo Giannini,"August 01, 1942",Seven Beauties,Pasqualino Frafuso
49,FALSE,William Holden,"April 17, 1918",Network,Max Schumacher
49,FALSE,Sylvester Stallone,"July 06, 1946",Rocky,Rocky Balboa
50,FALSE,Woody Allen,"December 01, 1935",Annie Hall,Alvy Singer
50,FALSE,Richard Burton,"November 10, 1925",Equus,Dr. Martin Dysart
50,TRUE,Richard Dreyfuss,"October 29, 1947",The Goodbye Girl,Elliot Garfield
50,FALSE,Marcello Mastroianni,"September 28, 1924",A Special Day,Gabriele
50,FALSE,John Travolta,"February 18, 1954",Saturday Night Fever,Tony Manero
51,FALSE,Warren Beatty,"March 30, 1937",Heaven Can Wait,"Joe Pendleton (alias, Leo Farnsworth, Tom Jarrett)"
51,FALSE,Gary Busey,"June 29, 1944",The Buddy Holly Story,Buddy Holly
51,FALSE,Robert De Niro,"August 17, 1943",The Deer Hunter,Michael
51,FALSE,Laurence Olivier,"May 22, 1907",The Boys from Brazil,Ezra Lieberman
51,TRUE,Jon Voight,"December 29, 1938",Coming Home,Luke Martin
52,TRUE,Dustin Hoffman,"August 08, 1937",Kramer vs. Kramer,Ted Kramer
52,FALSE,Jack Lemmon,"February 08, 1925",The China Syndrome,Jack Godell
52,FALSE,Al Pacino,"April 25, 1940",...And Justice for All,Arthur Kirkland
52,FALSE,Roy Scheider,"November 10, 1932",All That Jazz,Joe Gideon
52,FALSE,Peter Sellers,"September 08, 1925",Being There,"John Chance, the gardener (aka Chauncey Gardiner)"
53,TRUE,Robert De Niro,"August 17, 1943",Raging Bull,Jake LaMotta
53,FALSE,Robert Duvall,"January 05, 1931",The Great Santini,Bull Meechum
53,FALSE,John Hurt,"January 22, 1940",The Elephant Man,John Merrick
53,FALSE,Jack Lemmon,"February 08, 1925",Tribute,Scottie Templeton
53,FALSE,Peter O'Toole,"August 02, 1932",The Stunt Man,Eli Cross
54,FALSE,Warren Beatty,"March 30, 1937",Reds,John 'Jack' Reed
54,TRUE,Henry Fonda,"May 16, 1905",On Golden Pond,"Norman Thayer, Jr."
54,FALSE,Burt Lancaster,"November 02, 1913",Atlantic City,Lou
54,FALSE,Dudley Moore,"April 19, 1935",Arthur,Arthur Bach
54,FALSE,Paul Newman,"January 26, 1925",Absence of Malice,Michael Gallagher
55,FALSE,Dustin Hoffman,"August 08, 1937",Tootsie,Michael Dorsey/Dorothy Michaels
55,TRUE,Ben Kingsley,"December 31, 1943",Gandhi,Mahatma Gandhi
55,FALSE,Jack Lemmon,"February 08, 1925",Missing,Edmund Horman
55,FALSE,Paul Newman,"January 26, 1925",The Verdict,Frank Galvin
55,FALSE,Peter O'Toole,"August 02, 1932",My Favorite Year,Alan Swann
56,FALSE,Michael Caine,"March 14, 1933",Educating Rita,Dr. Frank Bryant
56,FALSE,Tom Conti,"November 22, 1941","Reuben, Reuben",Gowan McGland
56,FALSE,Tom Courtenay,"February 25, 1937",The Dresser,Norman
56,TRUE,Robert Duvall,"January 05, 1931",Tender Mercies,Mac Sledge
56,FALSE,Albert Finney,"May 09, 1936",The Dresser,Sir
57,TRUE,F. Murray Abraham,"October 24, 1939",Amadeus,Antonio Salieri
57,FALSE,Jeff Bridges,"December 04, 1949",Starman,Starman
57,FALSE,Albert Finney,"May 09, 1936",Under the Volcano,Geoffrey Firmin
57,FALSE,Tom Hulce,"December 06, 1953",Amadeus,Wolfgang Amadeus Mozart
57,FALSE,Sam Waterston,"November 15, 1940",The Killing Fields,Sydney Schanberg
58,FALSE,Harrison Ford,"July 13, 1942",Witness,John Book
58,FALSE,James Garner,"April 07, 1928",Murphy's Romance,Murphy Jones
58,TRUE,William Hurt,"March 20, 1950",Kiss of the Spider Woman,Luis Molina
58,FALSE,Jack Nicholson,"April 22, 1937",Prizzi's Honor,Charley Partanna
58,FALSE,Jon Voight,"December 29, 1938",Runaway Train,Manny
59,FALSE,Dexter Gordon,"February 27, 1923",Round Midnight,Dale Turner
59,FALSE,Bob Hoskins,"October 26, 1942",Mona Lisa,George
59,FALSE,William Hurt,"March 20, 1950",Children of a Lesser God,James
59,TRUE,Paul Newman,"January 26, 1925",The Color of Money,Eddie Felson
59,FALSE,James Woods,"April 18, 1947",Salvador,Richard Boyle
60,TRUE,Michael Douglas,"September 25, 1944",Wall Street,Gordon Gekko
60,FALSE,William Hurt,"March 20, 1950",Broadcast News,Tom Grunick
60,FALSE,Marcello Mastroianni,"September 28, 1924",Dark Eyes,Romano
60,FALSE,Jack Nicholson,"April 22, 1937",Ironweed,Francis Phelan
60,FALSE,Robin Williams,"July 21, 1951","Good Morning, Vietnam",Adrian Cronauer
61,FALSE,Gene Hackman,"January 30, 1930",Mississippi Burning,Anderson
61,FALSE,Tom Hanks,"July 09, 1956",Big,Josh
61,TRUE,Dustin Hoffman,"August 08, 1937",Rain Man,Raymond Babbitt
61,FALSE,Edward James Olmos,"February 24, 1947",Stand and Deliver,Jaime Escalante
61,FALSE,Max von Sydow,"April 10, 1929",Pelle the Conqueror,Lasse Karlsson
62,FALSE,Kenneth Branagh,"December 10, 1960",Henry V,Henry V
62,FALSE,Tom Cruise,"July 03, 1962",Born on the Fourth of July,Ron Kovic
62,TRUE,Daniel Day-Lewis,"April 29, 1957",My Left Foot,Christy Brown
62,FALSE,Morgan Freeman,"June 01, 1937",Driving Miss Daisy,Hoke Colburn
62,FALSE,Robin Williams,"July 21, 1951",Dead Poets Society,John Keating
63,FALSE,Kevin Costner,"January 18, 1955",Dances With Wolves,Lieutenant Dunbar
63,FALSE,Robert De Niro,"August 17, 1943",Awakenings,Leonard Lowe
63,FALSE,Gérard Depardieu,"December 27, 1948",Cyrano de Bergerac,Cyrano de Bergerac
63,FALSE,Richard Harris,"October 01, 1930",The Field,Bull McCabe
63,TRUE,Jeremy Irons,"September 19, 1948",Reversal of Fortune,Claus Von Bulow
64,FALSE,Warren Beatty,"March 30, 1937",Bugsy,Bugsy Siegel
64,FALSE,Robert De Niro,"August 17, 1943",Cape Fear,Max Cady
64,TRUE,Anthony Hopkins,"December 31, 1937",The Silence of the Lambs,Dr. Hannibal Lecter
64,FALSE,Nick Nolte,"February 08, 1941",The Prince of Tides,Tom Wingo
64,FALSE,Robin Williams,"July 21, 1951",The Fisher King,Parry
65,FALSE,Robert Downey Jr.,"April 04, 1965",Chaplin,Charles Chaplin
65,FALSE,Clint Eastwood,"May 31, 1930",Unforgiven,Bill Munny
65,TRUE,Al Pacino,"April 25, 1940",Scent of a Woman,Lt. Col. Frank Slade
65,FALSE,Stephen Rea,"October 31, 1946",The Crying Game,Fergus
65,FALSE,Denzel Washington,"December 28, 1954",Malcolm X,Malcolm X
66,FALSE,Daniel Day-Lewis,"April 29, 1957",In the Name of the Father,Gerry Conlon
66,FALSE,Laurence Fishburne,"July 30, 1961",What's Love Got to Do with It,Ike Turner
66,TRUE,Tom Hanks,"July 09, 1956",Philadelphia,Andrew Beckett
66,FALSE,Anthony Hopkins,"December 31, 1937",The Remains of the Day,Mr. Stevens
66,FALSE,Liam Neeson,"June 07, 1952",Schindler's List,Oskar Schindler
67,FALSE,Morgan Freeman,"June 01, 1937",The Shawshank Redemption,Red
67,TRUE,Tom Hanks,"July 09, 1956",Forrest Gump,Forrest Gump
67,FALSE,Nigel Hawthorne,"April 05, 1929",The Madness of King George,King George III
67,FALSE,Paul Newman,"January 26, 1925",Nobody's Fool,Sully
67,FALSE,John Travolta,"February 18, 1954",Pulp Fiction,Vincent Vega
68,TRUE,Nicolas Cage,"January 07, 1964",Leaving Las Vegas,Ben Sanderson
68,FALSE,Richard Dreyfuss,"October 29, 1947",Mr. Holland's Opus,Glenn Holland
68,FALSE,Anthony Hopkins,"December 31, 1937",Nixon,Richard Nixon
68,FALSE,Sean Penn,"August 17, 1960",Dead Man Walking,Matthew Poncelet
68,FALSE,Massimo Troisi,"February 19, 1953",The Postman (Il Postino),Mario
69,FALSE,Tom Cruise,"July 03, 1962",Jerry Maguire,Jerry Maguire
69,FALSE,Ralph Fiennes,"December 22, 1962",The English Patient,Almasy
69,FALSE,Woody Harrelson,"July 23, 1961",The People vs. Larry Flynt,Larry Flynt
