Ceremony,Won,Name,Birthdate,Film,Role
37,FALSE,Sophia Loren,"September 20, 1934",Marriage Italian Style,Filomena Marturano
37,FALSE,Debbie Reynolds,"April 01, 1932",The Unsinkable Molly Brown,Molly Brown
37,FALSE,Kim Stanley,"February 11, 1925",Seance on a Wet Afternoon,Myra Savage
38,FALSE,Julie Andrews,"October 01, 1935",The Sound of Music,Maria
38,TRUE,Julie Christie,"April 14, 1940",Darling,Diana Scott
38,FALSE,Samantha Eggar,"March 05, 1939",The Collector,Miranda Grey
38,FALSE,Elizabeth Hartman,"December 23, 1943",A Patch of Blue,Selina D'Arcey
38,FALSE,Simone Signoret,"March 25, 1921",Ship of Fools,La Condessa
39,FALSE,Anouk Aimee,"April 27, 1932",A Man and a Woman,Anne Gauthier
39,FALSE,Ida Kaminska,"September 18, 1899",The Shop on Main Street,Rozalie Lautmanova
39,FALSE,Lynn Redgrave,"March 08, 1943",Georgy Girl,Georgy Parkin
39,FALSE,Vanessa Redgrave,"January 30, 1937",Morgan!,Leonie Delt
39,TRUE,Elizabeth Taylor,"February 27, 1932",Who's Afraid of Virginia Woolf?,Martha
40,FALSE,Anne Bancroft,"September 17, 1931",The Graduate,Mrs. Robinson
40,FALSE,Faye Dunaway,"January 14, 1941",Bonnie and Clyde,Bonnie Parker
40,FALSE,Dame Edith Evans,"February 08, 1888",The Whisperers,Mrs. Ross
40,FALSE,Audrey Hepburn,"May 04, 1929",Wait until Dark,Susy Hendrix
40,TRUE,Katharine Hepburn,"May 12, 1907",Guess Who's Coming to Dinner,Christina Drayton
41,TRUE,Katharine Hepburn,"May 12, 1907",The Lion in Winter,Queen Eleanor of Aquitaine
41,FALSE,Patricia Neal,"January 20, 1926",The Subject Was Roses,Nettie Cleary
41,FALSE,Vanessa Redgrave,"January 30, 1937",Isadora,Isadora Duncan
41,TRUE,Barbra Streisand,"April 24, 1942",Funny Girl,Fanny Brice
41,FALSE,Joanne Woodward,"February 27, 1930","Rachel, Rachel",Rachel Cameron
42,FALSE,Genevieve Bujold,"July 01, 1942",Anne of the Thousand Days,Anne Boleyn
42,FALSE,Jane Fonda,"December 21, 1937","They Shoot Horses, Don't They?",Gloria Beatty
42,FALSE,Liza Minnelli,"March 12, 1946",The Sterile Cuckoo,Pookie Adams
42,FALSE,Jean Simmons,"January 31, 1929",The Happy Ending,Mary Wilson
42,TRUE,Maggie Smith,"December 28, 1934",The Prime of Miss Jean Brodie,Miss Jean Brodie
43,FALSE,Jane Alexander,"October 28, 1939",The Great White Hope,Eleanor Bachman
43,TRUE,Glenda Jackson,"May 09, 1936",Women in Love,Gudrun Brangwen
43,FALSE,Ali MacGraw,"April 01, 1939",Love Story,Jenny Cavilleri
43,FALSE,Sarah Miles,"December 31, 1941",Ryan's Daughter,Rosy Ryan
43,FALSE,Carrie Snodgress,"October 27, 1945",Diary of a Mad Housewife,Tina Balser
44,FALSE,Julie Christie,"April 14, 1940",McCabe & Mrs. Miller,Mrs. Constance Miller
44,TRUE,Jane Fonda,"December 21, 1937",Klute,Bree Daniel
44,FALSE,Glenda Jackson,"May 09, 1936",Sunday Bloody Sunday,Alex Greville
44,FALSE,Vanessa Redgrave,"January 30, 1937","Mary, Queen of Scots","Mary, Queen of Scots"
44,FALSE,Janet Suzman,"February 09, 1939",Nicholas and Alexandra,Alexandra
45,TRUE,Liza Minnelli,"March 12, 1946",Cabaret,Sally Bowles
45,FALSE,Diana Ross,"March 26, 1944",Lady Sings the Blues,Billie Holiday
45,FALSE,Maggie Smith,"December 28, 1934",Travels with My Aunt,Aunt Augusta
45,FALSE,Cicely Tyson,"December 19, 1924",Sounder,Rebecca Morgan
45,FALSE,Liv Ullmann,"December 16, 1938",The Emigrants,Kristina
46,FALSE,Ellen Burstyn,"December 07, 1932",The Exorcist,Chris MacNeil
46,TRUE,Glenda Jackson,"May 09, 1936",A Touch of Class,Vicki Allessio
46,FALSE,Marsha Mason,"April 03, 1942",Cinderella Liberty,Maggie Paul
46,FALSE,Barbra Streisand,"April 24, 1942",The Way We Were,Katie Morosky
46,FALSE,Joanne Woodward,"February 27, 1930","Summer Wishes, Winter Dreams",Rita Walden
47,TRUE,Ellen Burstyn,"December 07, 1932",Alice Doesn't Live Here Anymore,Alice Hyatt
47,FALSE,Diahann Carroll,"July 17, 1935",Claudine,Claudine
47,FALSE,Faye Dunaway,"January 14, 1941",Chinatown,Evelyn Cross Mulwray
47,FALSE,Valerie Perrine,"September 03, 1943",Lenny,Honey Bruce
47,FALSE,Gena Rowlands,"June 19, 1930",A Woman under the Influence,Mabel Longhetti
48,FALSE,Isabelle Adjani,"June 27, 1955",The Story of Adele H.,Adele Hugo
48,FALSE,Ann-Margret,"April 28, 1941",Tommy,Nora Walker Hobbs
48,TRUE,Louise Fletcher,"July 22, 1934",One Flew over the Cuckoo's Nest,Nurse Mildred Ratched
48,FALSE,Glenda Jackson,"May 09, 1936",Hedda,Hedda Gabler
48,FALSE,Carol Kane,"June 18, 1952",Hester Street,Gitl
49,FALSE,Marie-Christine Barrault,"March 21, 1944","Cousin, Cousine",Marthe
49,TRUE,Faye Dunaway,"January 14, 1941",Network,Diana Christensen
49,FALSE,Talia Shire,"April 25, 1946",Rocky,Adrian
49,FALSE,Sissy Spacek,"December 25, 1949",Carrie,Carrie White
49,FALSE,Liv Ullmann,"December 16, 1938",Face to Face,Dr. Jenny Isaksson
50,FALSE,Anne Bancroft,"September 17, 1931",The Turning Point,Emma Jacklin
50,FALSE,Jane Fonda,"December 21, 1937",Julia,Lillian Hellman
50,TRUE,Diane Keaton,"January 05, 1946",Annie Hall,Annie Hall
50,FALSE,Shirley MacLaine,"April 24, 1934",The Turning Point,Deedee Rodgers
50,FALSE,Marsha Mason,"April 03, 1942",The Goodbye Girl,Paula McFadden
51,FALSE,Ingrid Bergman,"August 29, 1915",Autumn Sonata,Charlotte Andergast
51,FALSE,Ellen Burstyn,"December 07, 1932","Same Time, Next Year",Doris
51,FALSE,Jill Clayburgh,"April 30, 1944",An Unmarried Woman,Erica
51,TRUE,Jane Fonda,"December 21, 1937",Coming Home,Sally Hyde
51,FALSE,Geraldine Page,"November 22, 1924",Interiors,Eve
52,FALSE,Jill Clayburgh,"April 30, 1944",Starting Over,Marilyn Homberg
52,TRUE,Sally Field,"November 06, 1946",Norma Rae,Norma Rae
52,FALSE,Jane Fonda,"December 21, 1937",The China Syndrome,Kimberly Wells
52,FALSE,Marsha Mason,"April 03, 1942",Chapter Two,Jennie MacLaine
52,FALSE,Bette Midler,"December 01, 1945",The Rose,Rose
53,FALSE,Ellen Burstyn,"December 07, 1932",Resurrection,Edna May
53,FALSE,Goldie Hawn,"November 21, 1945",Private Benjamin,Judy Benjamin
53,FALSE,Mary Tyler Moore,"December 29, 1936",Ordinary People,Beth Jarrett
53,FALSE,Gena Rowlands,"June 19, 1930",Gloria,Gloria Swenson
53,TRUE,Sissy Spacek,"December 25, 1949",Coal Miner's Daughter,Loretta Lynn
54,TRUE,Katharine Hepburn,"May 12, 1907",On Golden Pond,Ethel Thayer
54,FALSE,Diane Keaton,"January 05, 1946",Reds,Louise Bryant
54,FALSE,Marsha Mason,"April 03, 1942",Only When I Laugh,Georgia
54,FALSE,Susan Sarandon,"October 04, 1946",Atlantic City,Sally
54,FALSE,Meryl Streep,"June 22, 1949",The French Lieutenant's Woman,Sara Woodruff/Anna
55,FALSE,Julie Andrews,"October 01, 1935",Victor/Victoria,Victor/Victoria
55,FALSE,Jessica Lange,"April 20, 1949",Frances,Frances Farmer
55,FALSE,Sissy Spacek,"December 25, 1949",Missing,Beth Horman
55,TRUE,Meryl Streep,"June 22, 1949",Sophie's Choice,Sophie
55,FALSE,Debra Winger,"May 16, 1955",An Officer and a Gentleman,Paula Pokrifki
56,FALSE,Jane Alexander,"October 28, 1939",Testament,Carol Wetherly
56,TRUE,Shirley MacLaine,"April 24, 1934",Terms of Endearment,Aurora Greenway
56,FALSE,Meryl Streep,"June 22, 1949",Silkwood,Karen Silkwood
56,FALSE,Julie Walters,"February 22, 1950",Educating Rita,Rita
56,FALSE,Debra Winger,"May 16, 1955",Terms of Endearment,Emma Horton
57,FALSE,Judy Davis,"April 23, 1955",A Passage to India,Adela Quested
57,TRUE,Sally Field,"November 06, 1946",Places in the Heart,Edna Spalding
57,FALSE,Jessica Lange,"April 20, 1949",Country,Jewell Ivy
57,FALSE,Vanessa Redgrave,"January 30, 1937",The Bostonians,Olive Chancellor
57,FALSE,Sissy Spacek,"December 25, 1949",The River,Mae Garvey
58,FALSE,Anne Bancroft,"September 17, 1931",Agnes of God,Sister Miriam Ruth
58,FALSE,Whoopi Goldberg,"November 13, 1955",The Color Purple,Celie
58,FALSE,Jessica Lange,"April 20, 1949",Sweet Dreams,Patsy Cline
58,TRUE,Geraldine Page,"November 22, 1924",The Trip to Bountiful,Mrs. Watts
58,FALSE,Meryl Streep,"June 22, 1949",Out of Africa,Karen
59,FALSE,Jane Fonda,"December 21, 1937",The Morning After,Alex Sternbergen
59,TRUE,Marlee Matlin,"August 24, 1965",Children of a Lesser God,Sarah
59,FALSE,Sissy Spacek,"December 25, 1949",Crimes of the Heart,Babe Magrath
59,FALSE,Kathleen Turner,"June 19, 1954",Peggy Sue Got Married,Peggy Sue
59,FALSE,Sigourney Weaver,"October 08, 1949",Aliens,Ripley
60,TRUE,Cher,"May 20, 1946",Moonstruck,Loretta Castorini
60,FALSE,Glenn Close,"March 19, 1947",Fatal Attraction,Alex Forrest
60,FALSE,Holly Hunter,"March 20, 1958",Broadcast News,Jane Craig
60,FALSE,Sally Kirkland,"October 31, 1941",Anna,Anna
60,FALSE,Meryl Streep,"June 22, 1949",Ironweed,Helen
61,FALSE,Glenn Close,"March 19, 1947",Dangerous Liaisons,Marquise de Merteuil
61,TRUE,Jodie Foster,"November 19, 1962",The Accused,Sarah Tobias
61,FALSE,Melanie Griffith,"August 09, 1957",Working Girl,Tess McGill
61,FALSE,Meryl Streep,"June 22, 1949",A Cry in the Dark,Lindy
61,FALSE,Sigourney Weaver,"October 08, 1949",Gorillas in the Mist,Dian Fossey
62,FALSE,Isabelle Adjani,"June 27, 1955",Camille Claudel,Camille Claudel
62,FALSE,Pauline Collins,"September 03, 1940",Shirley Valentine,Shirley Valentine
62,FALSE,Jessica Lange,"April 20, 1949",Music Box,Ann Talbot
62,FALSE,Michelle Pfeiffer,"April 29, 1958",The Fabulous Baker Boys,Susie Diamond
62,TRUE,Jessica Tandy,"June 07, 1909",Driving Miss Daisy,Daisy Werthan
63,TRUE,Kathy Bates,"June 28, 1948",Misery,Annie Wilkes
63,FALSE,Anjelica Huston,"July 08, 1951",The Grifters,Lilly Dillon
63,FALSE,Julia Roberts,"October 28, 1967",Pretty Woman,Vivian Ward
63,FALSE,Meryl Streep,"June 22, 1949",Postcards from the Edge,Suzanne Vale
63,FALSE,Joanne Woodward,"February 27, 1930",Mr. & Mrs. Bridge,India Bridge
64,FALSE,Geena Davis,"January 21, 1956",Thelma & Louise,Thelma
64,FALSE,Laura Dern,"February 10, 1967",Rambling Rose,Rose
64,TRUE,Jodie Foster,"November 19, 1962",The Silence of the Lambs,Clarice Starling
64,FALSE,Bette Midler,"December 01, 1945",For the Boys,Dixie Leonard
64,FALSE,Susan Sarandon,"October 04, 1946",Thelma & Louise,Louise
65,FALSE,Catherine Deneuve,"October 22, 1943",Indochine,Eliane
65,FALSE,Mary McDonnell,"April 28, 1952",Passion Fish,May-Alice
65,FALSE,Michelle Pfeiffer,"April 29, 1958",Love Field,Lurene Hallett
65,FALSE,Susan Sarandon,"October 04, 1946",Lorenzo's Oil,Michaela Odone
65,TRUE,Emma Thompson,"April 15, 1959",Howards End,Margaret Schlegel
66,FALSE,Angela Bassett,"August 16, 1958",What's Love Got to Do with It,Tina Turner
66,FALSE,Stockard Channing,"February 13, 1944",Six Degrees of Separation,Ouisa Kittredge
66,TRUE,Holly Hunter,"March 20, 1958",The Piano,Ada
66,FALSE,Emma Thompson,"April 15, 1959",The Remains of the Day,Miss Kenton
66,FALSE,Debra Winger,"May 16, 1955",Shadowlands,Joy Gresham
67,FALSE,Jodie Foster,"November 19, 1962",Nell,Nell
67,TRUE,Jessica Lange,"April 20, 1949",Blue Sky,Carly Marshall
67,FALSE,Miranda Richardson,"March 03, 1958",Tom & Viv,Viv
67,FALSE,Winona Ryder,"October 29, 1971",Little Women,Jo March
67,FALSE,Susan Sarandon,"October 04, 1946",The Client,Reggie Love
68,TRUE,Susan Sarandon,"October 04, 1946",Dead Man Walking,Sister Helen Prejean
68,FALSE,Elisabeth Shue,"October 06, 1963",Leaving Las Vegas,Sera
68,FALSE,Sharon Stone,"March 10, 1958",Casino,Ginger McKenna
68,FALSE,Meryl Streep,"June 22, 1949",The Bridges of Madison County,Francesca Johnson
68,FALSE,Emma Thompson,"April 15, 1959",Sense and Sensibility,Elinor Dashwood
69,FALSE,Brenda Blethyn,"February 20, 1946",Secrets & Lies,Cynthia
